gamma,wfs,J,E
1.0,0.0,0.00038904661778360605,1570.1754150390625
1.0,0.5,0.00047501828521490097,1532.6959228515625
1.0,1.0,0.0006638861959800124,1496.16455078125
1.0,2.0,0.0013300350401550531,1425.8687744140625
1.0,5.0,0.0052447207272052765,1235.722900390625
2.5,0.0,0.0003832941292785108,1583.604736328125
2.5,0.5,0.0004373829870019108,1546.01806640625
2.5,1.0,0.0005953723448328674,1509.3626708984375
2.5,2.0,0.0012026862241327763,1438.8038330078125
2.5,5.0,0.0049606929533183575,1247.9896240234375
